,mdi,mda,mda_std,sfi
log_duration,0.08932622125037647,0.0019923466937467006,0.0002900753689761186,-0.6470154535822475
ofi_5,0.09190220367150066,0.0019299348171209812,0.0002639259360200486,-0.6428006781944717
duration_z,0.08716366837371552,0.0018845763963306534,0.00011233807223321436,-0.6468295474216353
ofi,0.06287165443828081,0.0017587887897857735,0.00020111554928095305,-0.6433947022491537
mom_5,0.06665693096876037,0.0015885202654838668,0.0001610502673928691,-0.6421313646309164
mom_20,0.04458983844107727,0.0006361229598080206,0.00015564188398595194,-0.6524678081880745
vol_ratio,0.04535432444846318,0.0006077293882177585,0.00014739985183615255,-0.6525174954153337
log_n_ticks,0.04240842868144454,0.0004489381346891151,0.0001677705750924753,-0.6514421678687118
cs_spread,0.02842117268256116,0.0004044645890751686,5.6232778090470384e-05,-0.6519511773998385
ofi_20,0.061253412487286475,0.0003089100946920004,0.00016123233739304108,-0.6538752140218648
ofi_50,0.028661113209683245,0.00016086091501698625,9.93913493374806e-05,-0.6532876359447055
vpin_20,0.038790130449265464,0.0001414528055605326,4.0787371499974197e-05,-0.6535270960583701
ffd_price_z,0.03491272894463578,0.00014093992907490064,2.930390153064136e-05,-0.6542404572016043
buy_ratio_20,0.03846094832616374,0.00013455779899282808,7.897825168840868e-05,-0.6539271881400329
autocorr_50,0.02909339454261187,0.00013153933581972464,0.00014327777512792084,-0.6543269518357061
cs_sigma,0.028904518996696615,0.00010258838373504724,0.00011126712094167084,-0.6548748926792637
vpin_100,0.028345467223286788,9.748035444244678e-05,8.102762389079361e-05,-0.6542415670414228
ffd_price,0.024201367159882806,8.272316932149786e-05,2.176688971559469e-05,-0.6556482628565028
roll_spread_100,0.008787290319303516,5.333283499615959e-05,2.037196279901066e-05,-0.6523532593475632
roll_spread_20,0.02780916365453421,9.855464967731557e-06,4.180295561527428e-05,-0.6525453914757737
amihud_lambda_20,,0.0,0.0,-0.6523517357293498
kyle_lambda_20,,0.0,0.0,-0.6523517357293497
kyle_lambda_100,,0.0,0.0,-0.6523517357293498
hasbrouck_lambda_20,,0.0,0.0,-0.6523517357293499
hasbrouck_lambda_100,,0.0,0.0,-0.6523517357293498
amihud_lambda_100,,0.0,0.0,-0.6523517357293498
volume_z,0.040969896245018116,-1.914748434833665e-05,6.719498064312231e-05,-0.6555952779909955
mom_50,0.02345698798877866,-3.128455610121814e-05,8.98293043032265e-05,-0.6540870676935688
vol_50,0.027659137496672863,-0.00011141213200461099,3.240239302669336e-05,-0.6531316982800964
