,performance
n_periods,29934.0
years,1.5471324886847542
total_return,0.1464826828697181
cagr,0.09237713718882912
ann_vol,0.03254661542265865
sharpe,2.731036436307538
skew,0.14068427668235647
excess_kurtosis,3.510082993529565
psr_vs_0,0.9996639390507296
max_drawdown,0.024761373208501136
max_time_under_water_days,89.07075476873842
n_bets,1646.0
bets_per_year,1063.9037135076228
hit_rate,0.3663426488456865
avg_win,0.0010946544706188738
avg_loss,-0.0005008664108181356
hhi_positive,0.0025220442247373093
hhi_negative,0.0007631333660921278
implied_precision_sr1,0.32831750520267067
realised_precision,0.3663426488456865
prob_failure,0.0006824990167469762
hhi_monthly,0.02354145605710228
gross_sharpe,6.513779793977207
total_cost,0.18981000000000003
avg_abs_position,0.133515400547872
turnover_per_year,408.9501090742849
